Lat,Lon,Elevation
45.680073,-126.39441,0
45.722786,-126.282,0
45.765385,-126.16937,0
45.80786,-126.05658,0
45.850204,-125.9436,0
45.892414,-125.830444,0
45.934517,-125.71709,0
45.976482,-125.603546,0
46.018322,-125.48984,0
46.060028,-125.37593,0
46.101616,-125.26187,0
46.14307,-125.14758,0
46.184406,-125.03314,0
46.225594,-124.91849,0
46.266666,-124.803696,0
46.30761,-124.68869,0
46.348423,-124.57352,0
46.389095,-124.45816,0
46.429646,-124.34262,0
46.47007,-124.22687,0
46.510357,-124.11098,0
46.55051,-123.9949,0
46.590523,-123.87863,52
46.63042,-123.76218,118
46.670174,-123.64554,37
46.7098,-123.5287,362
46.74929,-123.41171,320
46.788647,-123.29454,208
46.82787,-123.17717,30
46.86695,-123.05963,40
46.905907,-122.94191,92
46.944725,-122.823975,88
46.983402,-122.70589,121
47.02195,-122.58763,86
47.060352,-122.46918,119
47.098625,-122.350555,125
47.136757,-122.231735,37
47.174755,-122.11273,208
47.212616,-121.99356,227
47.250328,-121.87421,616
47.287914,-121.75467,588
47.32535,-121.63495,1081
47.362648,-121.515076,1104
47.399803,-121.39502,804
47.436836,-121.27472,1265
47.473713,-121.1543,1438
47.510452,-121.03371,1392
47.547043,-120.91292,1556
47.5835,-120.79196,966
47.619816,-120.67081,627
47.65599,-120.549484,663
47.692013,-120.42801,1252
47.727894,-120.30632,820
47.763634,-120.18446,224
47.799232,-120.06244,642
47.83468,-119.94023,380
47.869987,-119.81784,843
47.90515,-119.69525,581
47.94017,-119.57254,507
47.97504,-119.44963,664
48.009754,-119.32657,700
48.04434,-119.20329,790
48.07877,-119.079865,789
48.113056,-118.95624,705
48.147186,-118.83246,875
48.181183,-118.708496,492
48.21501,-118.58438,1035
48.2487,-118.46005,1163
48.282234,-118.33559,997
48.315643,-118.21092,521
48.348877,-118.08609,953
48.38196,-117.96112,1282
48.414906,-117.83597,559
48.447697,-117.7106,677
48.480328,-117.58511,1263
48.512814,-117.45944,1271
48.545147,-117.33359,715
48.57733,-117.20758,1188
48.609356,-117.081375,996
48.64123,-116.95505,861
48.67295,-116.82852,799
48.704514,-116.70184,1460
48.73593,-116.57495,1509
48.767185,-116.44794,1570
48.79829,-116.32077,688
48.829235,-116.19342,1391
48.860027,-116.06589,1463
48.89067,-115.9382,1903
48.921146,-115.81033,1409
48.951466,-115.68234,1173
48.981632,-115.55414,1543
49.01164,-115.42581,1933
49.041485,-115.2973,1011
49.071182,-115.16864,839
49.10072,-115.039795,1692
49.13009,-114.9108,1242
49.1593,-114.78166,1707
49.188354,-114.652374,2088
49.21725,-114.52289,1358
49.24599,-114.39325,2073
49.27456,-114.26349,1455
49.302975,-114.133514,1939
49.331226,-114.0034,1555
49.359318,-113.87315,1336
49.38725,-113.74274,1209
49.41501,-113.61218,1095
49.442608,-113.48146,1064
49.47006,-113.350555,1019
49.49733,-113.21951,1115
49.52444,-113.08835,1009
49.551388,-112.957,962
49.578182,-112.8255,939
45.759087,-126.45616,0
45.801865,-126.3436,0
45.84453,-126.23085,0
45.887074,-126.117905,0
45.929485,-126.00479,0
45.971764,-125.89151,0
46.013935,-125.778015,0
46.05597,-125.66434,0
46.097874,-125.550476,0
46.13965,-125.43645,0
46.181313,-125.322235,0
46.22283,-125.207825,0
46.264225,-125.093216,0
46.30549,-124.978455,0
46.346622,-124.863495,0
46.38764,-124.74835,0
46.428516,-124.633026,0
46.469254,-124.51755,0
46.509872,-124.401855,0
46.55037,-124.28595,0
46.590717,-124.16991,0
46.630936,-124.05368,2
46.671024,-123.937256,0
46.71098,-123.82065,25
46.750805,-123.70386,58
46.790497,-123.58687,154
46.830048,-123.46973,508
46.869476,-123.3524,151
46.908764,-123.23486,166
46.947914,-123.11717,229
46.986935,-122.9993,75
47.025814,-122.881226,52
47.064568,-122.762955,69
47.103172,-122.64453,71
47.141647,-122.525925,88
47.17998,-122.40715,129
47.218178,-122.28815,119
47.256245,-122.16899,158
47.294167,-122.04965,180
47.331944,-121.930145,244
47.3696,-121.810425,503
47.407104,-121.69055,878
47.44446,-121.570496,1089
47.481686,-121.45026,1105
47.518776,-121.32982,1040
47.55572,-121.20923,1880
47.59252,-121.088455,1822
47.629177,-120.9675,908
47.665703,-120.846344,1645
47.702072,-120.72504,714
47.73831,-120.603516,891
47.774406,-120.48184,1093
47.810352,-120.36,854
47.846153,-120.23796,888
47.88181,-120.11575,377
47.91732,-119.99338,895
47.95269,-119.87082,236
47.987923,-119.74806,829
48.023,-119.62515,398
48.057938,-119.502045,535
48.092712,-119.378784,694
48.12736,-119.255325,413
48.161846,-119.131714,606
48.196198,-119.007904,669
48.230385,-118.88394,810
48.264435,-118.759766,1072
48.298336,-118.63547,869
48.332092,-118.510956,1460
48.365692,-118.38631,1049
48.399147,-118.261444,859
48.43245,-118.13641,649
48.46559,-118.01123,878
48.498596,-117.885895,616
48.53144,-117.760345,925
48.564137,-117.63464,1153
48.59668,-117.50879,1177
48.629078,-117.38272,868
48.661324,-117.2565,1123
48.693405,-117.13011,1125
48.725334,-117.00357,1183
48.757114,-116.87686,781
48.78874,-116.74997,1675
48.82021,-116.62288,1778
48.851532,-116.495636,1977
48.88269,-116.368256,597
48.913692,-116.24069,1502
48.944546,-116.11296,1491
48.97524,-115.98508,1764
49.00577,-115.856995,1403
49.03615,-115.72879,1478
49.066376,-115.60037,1578
49.096436,-115.47183,1339
49.126343,-115.34311,1096
